Benchmark,Base,Changed
2to3,0.40260,0.30387
chameleon,0.01131,0.00843
chaos,0.13702,0.09141
crypto_pyaes,0.13037,0.08547
deltablue,0.00904,0.00476
django_template,0.06075,0.04455
dulwich_log,0.09673,0.07625
fannkuch,0.61109,0.53127
float,0.14265,0.09133
genshi_text,0.03872,0.03018
genshi_xml,0.08268,0.06755
go,0.28365,0.17960
hexiom,0.01185,0.00825
html5lib,0.10464,0.07655
json_dumps,0.01625,0.01365
json_loads,0.00002913,0.00002534
logging_format,0.00001104,0.00000785
logging_silent,0.00000022686,0.00000014066
logging_simple,0.00000985,0.00000718
mako,0.01967,0.01289
meteor_contest,0.13050,0.12132
nbody,0.19658,0.16933
nqueens,0.12180,0.10524
pathlib,0.02444,0.02157
pickle,0.00001210,0.00001180
pickle_dict,0.00002633,0.00002516
pickle_list,0.00000383,0.00000374
pickle_pure_python,0.00054311,0.00038154
pidigits,0.17484,0.17521
pyflate,0.88088,0.62072
python_startup,0.00910,0.00814
python_startup_no_site,0.00574,0.00625
raytrace,0.59123,0.39567
regex_compile,0.21492,0.15868
regex_dna,0.18205,0.16438
regex_effbot,0.00315,0.00261
regex_v8,0.02403,0.02201
richards,0.09026,0.06237
scimark_fft,0.44166,0.37109
scimark_lu,0.19140,0.12286
scimark_monte_carlo,0.12392,0.08052
scimark_sor,0.23645,0.15160
scimark_sparse_mat_mult,0.00611,0.00541
spectral_norm,0.18159,0.14441
sqlite_synth,0.00000324,0.00000279
sympy_expand,0.66741,0.58124
sympy_integrate,0.02742,0.02374
sympy_str,0.40560,0.35327
sympy_sum,0.21607,0.18865
telco,0.00644,0.00610
tornado_http,0.18428,0.15228
unpack_sequence,0.00000013626,0.00000012866
unpickle,0.00001571,0.00001550
unpickle_list,0.00000680,0.00000709
unpickle_pure_python,0.00037604,0.00029239
xml_etree_generate,0.10859,0.09524
xml_etree_iterparse,0.11641,0.11001
xml_etree_parse,0.15130,0.15592
xml_etree_process,0.08857,0.06560
