id,film,release_date,sequel_id,director_id
100,Iron Man,2008-05-02,102.0,201
101,The Incredible Hulk,2008-07-13,,202
102,Iron Man 2,2010-05-07,106.0,201
103,Thor,2011-05-06,107.0,203
104,Captain America 1,2011-08-22,108.0,204
105,The Avengers 1,2012-05-04,110.0,205
106,Iron Man 3,2013-05-03,,206
107,Thor: The Dark World,2013-11-08,,207
108,Captain America 2,2014-04-04,112.0,208
109,Guardians of the Galaxy,2014-08-01,,209
110,Avengers 2,2015-05-01,,205
111,Ant-Man,2015-07-17,,210
112,Captain America 3,2016-05-06,,208
113,Doctor Strange,2016-11-04,,211
114,Spider-Man: Homecoming,2017-07-07,,212
